id_producto,no_parte,producto,producto_completo,marca,etiquetas,subcategoria,categoria,cat
2088,P579795,Aromatizante Eliminador De Olores y Desinfectante En Aerosol Floral Glade Oust,Aromatizante Eliminador De Olores y Desinfectante En Aerosol Floral Glade Oust x 400ml,Glade,Ambientadores,Aseo De Hogar,Hogar,HO
2089,P728716,Labial Líquido Mate Vogue Colorissimo Karma 5 Ml,Labial Líquido Mate Vogue Colorissimo Karma 5 Ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
2090,P523248,Tomates Cheika Secos en Aceite de Oliva,Tomates Cheika Secos en Aceite de Oliva x 250g,Cheika,Encurtidos Y Otros,Charcutería,Alimentos y Bebidas,A&B
2091,P160072,Esmalte Lander fashion colors tono 01,Esmalte Lander fashion colors tono 01 x 11 ml,Lander,Maquillaje,Belleza,Salud y Belleza,S&B
2092,P588088,Café instantáneo granulado JBO x 50 g,Café instantáneo granulado JBO x 50 g,Jbo Mp,Café,Despensa,Alimentos y Bebidas,A&B
2093,P627595,Esmalte materialista secado rápido Masglo,Esmalte materialista secado rápido Masglo x 13.5 ml,Masglo,Maquillaje,Belleza,Salud y Belleza,S&B
2094,P221363,Gelatina polvo surtido Gelhada,Gelatina polvo surtido Gelhada x 4 und x 40 g c-u,Gelhada,"Gelatinas, Flanes Y Pudines",Dulces Y Postres,Alimentos y Bebidas,A&B
2095,P906929,Mini palitroques integrales Susanita,Mini Palitroques X 170g,Susanita,Panadería Empacada,Panadería Y Pastelería,Alimentos y Bebidas,A&B
2096,P147597,Laval limón extremo lozacrem,Laval limón extremo lozacrem x 2und x 450g precio especial,Blancox,Lavalozas,Limpieza De Cocina,Hogar,HO
2097,P944998,Calados de papel surtidos Baffi,Calados de papel surtidos Baffi x 125g,Baffi,Pastelería,Panadería Y Pastelería,Alimentos y Bebidas,A&B
2098,P386514,Pasta Clásica Concha Doria,Pasta Clásica Concha Doria x 500 g.,Doria,Pastas,Despensa,Alimentos y Bebidas,A&B
2099,P764311,Pate de ajo la maison de pate,Pate de ajo la maison de pate,La Mansi?N Del Pate,Encurtidos Y Otros,Charcutería,Alimentos y Bebidas,A&B
2100,P777664,Esponja Scotch-Brite baño cero rayas,Esponja Scotch-Brite baño cero rayas x2und,Scotch Brite,Esponjas Y Fibras,Limpieza De Cocina,Hogar,HO
2101,P994251,Pan molde gris maxli,Pan molde gris maxli x 750g,Maxli,Panadería Artesanal,Panadería Y Pastelería,Alimentos y Bebidas,A&B
2102,P741032,Paño Bonbril Multiusos,Paño Bonbril Multiusos x 2und.,Bon Bril,Esponjas Y Fibras,Limpieza De Cocina,Hogar,HO
2103,P965321,Leche en polvo Alquería x 330 gr,Leche en polvo Alquería x 330 gr,Alqueria,Leche,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2104,P921970,Bebida De Soya Silk Chocolate,Bebida Soya Chocolate X 240 ml,Silk,Leches Vegetales,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2105,P538855,Crema De Leche UHT,Crema De Leche Uht X 200 gr,Alpina,Crema Leche Y Leche Condensada,Dulces Y Postres,Alimentos y Bebidas,A&B
2106,P805793,Esmalte Vogue Fantastic Princesa 10 Ml,Esmalte Vogue Fantastic Princesa 10 Ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
2107,P749567,Nectar Frutto surtido,Nectar Frutto surtido x 6unds x 200 ml c-u precio especial - Nectar frutto surtido x 6unds x 200 ml c-u precio especial,Alpina,"Jugos, Refrescos Y Maltas",Bebidas,Alimentos y Bebidas,A&B
2108,P447882,Limpiador verde mantenimiento pisos madera laminados binner,Limpiador Mtto Madera Y Lamina,Binner,Cera,Aseo De Hogar,Hogar,HO
2109,P137408,Gaseosa Manzana Go Pack,Gaseosa Manzana Go Pack x 600ml,Postobon,Gaseosas,Bebidas,Alimentos y Bebidas,A&B
2110,P968319,Vino rosado Monterio tempranillo,Vino rosado Monterio tempranillo x 750 ml,Monteiro,Vino,Vinos Y Licores,Alimentos y Bebidas,A&B
2111,P430140,Multiusos antibacterial biovarsol,Multiusos antibacterial biovarsol x 2000 ml,Biovarsol,Multiusos,Aseo De Hogar,Hogar,HO
2112,P667449,Yogurt Finesse Melocotón,Yogurt Finesse Melocotón x 180g Alpina,Finesse,Yogurt,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2113,P478526,Mezcla JBO mani nueces mixtas,Mezcla JBO mani nueces mixtas x 200 g,Jbo Mp,Frutos Secos,Pasabocas,Alimentos y Bebidas,A&B
2114,P999203,Café Buendia Clasico,Café Buendia Clasico x 50g,Buendia,Café,Despensa,Alimentos y Bebidas,A&B
2115,P387777,Esmalte para uñas Masglo novia hielo,Esmalte para uñas Masglo novia hielo,Masglo,Maquillaje,Belleza,Salud y Belleza,S&B
2116,P263903,Sal de ajo,Sal de ajo x 10g,P&I,"Condimentos, Caldos Y Sal",Despensa,Alimentos y Bebidas,A&B
2117,P754511,Jugo naranja natural pulpa Alquería bolsa,Jugo De Naranja Natural En Bolsa X 900 ml,Alqueria,"Jugos, Refrescos Y Maltas",Bebidas,Alimentos y Bebidas,A&B
2118,P777883,Crema Dental Colgate Ultra White 100ml,Crema Dental Colgate Ultra White 100ml,Colgate,Cuidado Oral,Cuidado Personal,Salud y Belleza,S&B
2119,P964373,Chorizo campesino montefrío,Chorizo campesino montefrío x 10und x 500g,Montefrio,Carnes Frías Y Embutidos,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2120,P647571,Bolsa Costalitos opacidad total mediana,Bolsa Costalitos opacidad total mediana x 22 und,Costalitos,Bolsas De Basura,Limpieza De Cocina,Hogar,HO
2121,P834229,Cola So Pretty tornasol,Cola So Pretty tornasol x 6 und,Sopretty,Accesorios De Belleza,Belleza,Salud y Belleza,S&B
2122,P757138,RUEDITAS DESMAQUILLADORAS POMYS ORIGINAL,RUEDITAS DESMAQUILLADORAS POMYS ORIGINAL X 120 UND,Pomys,Cuidado Facial,Belleza,Salud y Belleza,S&B
2123,P323705,Bebida Juniper carbonatada Ginger beer,Bebida Juniper carbonatada Ginger beer x 4 botellas x 200 ml c-u,Juniper,"Jugos, Refrescos Y Maltas",Bebidas,Alimentos y Bebidas,A&B
2124,P833775,Avena en hojuelas Quaker,Avena en hojuelas Quaker x 400g,Quaker,Avenas Y Salvado,Despensa,Alimentos y Bebidas,A&B
2125,P375589,Empanada k-listo,Empanada k-listo x 25und x 875g,K-Listo,Empanadas,Productos Congelados,Alimentos y Bebidas,A&B
2126,P161747,Lomo embuchado Boadas,Lomo embuchado Boadas x 100g,Boadas,Carnes Frías Maduradas Y Ahumadas,Charcutería,Alimentos y Bebidas,A&B
2127,P690867,Mayonesa pague 150 lleve 200 g,Of Mayonesa Pague 150 Lleve200,La Constancia,Salsas Y Vinagres,Despensa,Alimentos y Bebidas,A&B
2128,P850920,Bebida carbonatada Bretaña,Bebida carbonatada Bretaña x 2 und x 1.5 lt c-u precio especial,Bretana,Gaseosas,Bebidas,Alimentos y Bebidas,A&B
2129,P988568,Yogur Slight natural cereal arándanos,Yogur Slight natural cereal arándanos x 4 und x 170 g c/u precio especial,Slight,Yogurt,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2130,P158271,Chiclets Menta,Chiclets Menta x 16.8g,Trident,Confitería,Dulces Y Postres,Alimentos y Bebidas,A&B
2131,P956392,Galletas Gullón Soja-Choco Diet Nature,Galletas Gullón Soja-Choco Diet Nature x 144 g,Gullon,Galletas Dietéticas Y Saludables,Pasabocas,Alimentos y Bebidas,A&B
2132,P978086,Crema agria colanta tarro,Crema agria colanta tarro x 400g,Colanta,Queso,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2133,P862318,Polvo Vogue arroz filtro solar almendra,Polvo Vogue arroz filtro solar almendra x 11g,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
2134,P859625,Chocolate Kinder sorpresa star wars,Chocolate Kinder sorpresa star wars x 20g,Kinder,Chocolatería,Dulces Y Postres,Alimentos y Bebidas,A&B
2135,P100083,Salchicha Rica,Salchicha Rica x 30 und.x 500 g.,Rica,Carnes Frías Y Embutidos,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2136,P616978,Quesito alpina,Quesito Alpina x 185g,Alpina,Queso,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2137,P331144,Yagur semidescremado vaso colanta,Yagur semidescremado vaso colanta x 150g x4und,Colanta,Yogurt,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2138,P336565,Salchichón cervecero,Salchichón cervecero x 500g colanta,Montefrio,Carnes Frías Y Embutidos,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2139,P790753,Vino de misa Bacarles,Vino De Misa Bacarles X 750ml,Bacarles,Vino,Vinos Y Licores,Alimentos y Bebidas,A&B
2140,P368083,Papas Margarita onduladas tomate,Papas Margarita onduladas tomate x 105g,Margarita,Papas Fritas Y Paquetes,Pasabocas,Alimentos y Bebidas,A&B
2141,P174559,Aromasense Jabón Cremoso Miel & Vainilla Repuesto Doy Pack,Aromasense Jabón Cremoso Miel & Vainilla Repuesto Doy Pack x 1000 ml,Aromasense,Jabones De Tocador,Cuidado Personal,Salud y Belleza,S&B
2142,P962140,Suero Costeño Klarens,Suero Costeño Klarens x 140 g,Klarens,Queso,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2143,P214003,Aromatizante De Ambiente En Aerosol Campos De Lavanda Rociado Fácil Glade,Aromatizante De Ambiente En Aerosol Campos De Lavanda Rociado Fácil Glade x 400ml,Glade,Ambientadores,Aseo De Hogar,Hogar,HO
2144,P641933,Ron Medellin añejo tetra,Ron Medellin añejo tetra x 260 ml,Medellin,Ron,Vinos Y Licores,Alimentos y Bebidas,A&B
2145,P891581,Crema dental Oral-B kids edición minnie,Crema dental Oral-B kids edición minnie x 37 ml,Oral B,Cuidado Oral,Cuidado Personal,Salud y Belleza,S&B
2146,P378454,Caladitos integrales Susanita,Caladitos 170 gr,Susanita,Panadería Empacada,Panadería Y Pastelería,Alimentos y Bebidas,A&B
2147,P933116,Empanadas de Pollo Zenú,Empanada De Pollo Zen? X 504 gr,Zenu,Empanadas,Productos Congelados,Alimentos y Bebidas,A&B
2148,P567726,Lonchitas de queso mozzarella Centurion green line,Lonchitas de queso mozzarella Centurion green line x100g,Centurion Foods,Quesos Especializados,Charcutería,Alimentos y Bebidas,A&B
2149,P263794,Desodorante Balance men antitranspirante invisible,Desodorante Balance men antitranspirante invisible x 160 ml,Balance,Desodorantes,Cuidado Personal,Salud y Belleza,S&B
2150,P101874,Yogurt Finesse Probióticos Frutos Rojo,Yogurt Finesse Probióticos Frutos Rojo x 1700g Alpina,Finesse,Yogurt,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2151,P266160,Chocolatina Jumbo Maní,Chocolatina Jumbo Maní x 40 g.,Jumbo,Chocolatería,Dulces Y Postres,Alimentos y Bebidas,A&B
2152,P520176,Arepa con trocitos de queso doña paisa,Arepa con trocitos de queso doña paisa x 6 unds x 600 g,Dona Paisa,Arepas,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2153,P895878,Tostadas Susanita Arroz Integral Quinua,Tostadas De Arroz Con Quinua Paquete X 80g,Susanita,Panadería Empacada,Panadería Y Pastelería,Alimentos y Bebidas,A&B
2154,P612683,Gaseosa Pepsi + Seven Up,Gaseosa Pepsi + Seven Up x 3.125 L c-u precio especial,Pepsi,Gaseosas,Bebidas,Alimentos y Bebidas,A&B
2155,P125962,Agua Tonica Fentimans Fourpack,Agua Tonica Fentimans Fourpack X 200ml c-u,Fentimans,Agua,Bebidas,Alimentos y Bebidas,A&B
2156,P218435,Panelita de leche dura Dulces Del Valle,Panelita de leche dura Dulces Del Valle x 24 und x 336 g,Dulces Del Valle,Dulces Típicos,Dulces Y Postres,Alimentos y Bebidas,A&B
2157,P470409,Croqueta de yuca Rapiyuca Palitos bolsa,Croqueta de yuca Rapiyuca Palitos bolsa x 500g,Rapiyuca,"Papas, Yucas Y Patacones",Productos Congelados,Alimentos y Bebidas,A&B
2158,P552390,Crema Tena barrera zinc,Crema Tena barrera zinc x 20 ml,Tena,Protección Adulta,Cuidado Personal,Salud y Belleza,S&B
2159,P342121,Mermelada St.Dalfour Albaricoque Sin Azúcar,Mermelada Albaricoque,St.Dalfour,Mermelada Y Cremas De Untar,Pasabocas,Alimentos y Bebidas,A&B
2160,P673828,Cera escarlata bufalo cojin,Cera escarlata bufalo cojin x 700 ml,Bufalo,Cera,Aseo De Hogar,Hogar,HO
2161,P680981,Pan campo nuez,Pan campo nuez x 400 g,Jumbo,Panadería Artesanal,Panadería Y Pastelería,Alimentos y Bebidas,A&B
2162,P489573,Wafer paquetaco arequipe Italo,Wafer paquetaco arequipe Italo x 117g,Italo,Galletas Dulces,Pasabocas,Alimentos y Bebidas,A&B
2163,P625318,Yogur colanta benecol frutos verdes,Yogur colanta benecol frutos verdes x100g,Colanta,Yogurt,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2164,P508479,Coctel la celebración mojito sin alcohol,Coctel la celebración mojito sin alcohol x 700ml,La Celebracion,Aperitivos,Vinos Y Licores,Alimentos y Bebidas,A&B
2165,P447514,Gelatina Boggy uva,Gelatina Boggy uva x108g,Boggy,Postres Refrigerados,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2166,P463610,Pizza Zenú jamón queso,Pizza Zenú jamón queso x 113g,Zenu,Pizza Y Pastas Congeladas,Productos Congelados,Alimentos y Bebidas,A&B
2167,P352467,Protectores Diarios Nosotras Largos,Protectores Diarios Nosotras Largos x 50und,Nosotras,Protección Femenina,Cuidado Personal,Salud y Belleza,S&B
2168,P681973,Gel Syoss ultra fuerte,Gel Syoss ultra fuerte x 250ml,Syoss,Gel Y Fijadores,Cuidado Personal,Salud y Belleza,S&B
2169,P808761,Refresco Alpina Soka Mandarina Botella,Refresco Alpina Soka Mandarina Botella x 1000 ml,Alpina,"Jugos, Refrescos Y Maltas",Bebidas,Alimentos y Bebidas,A&B
2170,P784715,Panela pulverizada Fonce natural,Panela pulverizada Fonce natural x 500 g,Del Fonce,"Azúcar, Endulzantes Y Panelas",Despensa,Alimentos y Bebidas,A&B
2171,P460343,Rey Canela Selección. Chapeta,Rey Canela Selección. Chapeta x 20g - El Rey,El Rey,"Condimentos, Caldos Y Sal",Despensa,Alimentos y Bebidas,A&B
2172,P204681,Lenteja Canadiense,Lenteja Canadiense x 1000 g El Mejor,Don Juan,Arroz Y Granos,Despensa,Alimentos y Bebidas,A&B
2173,P572140,Shampoo Vitane Anticaida Therapy Hombre,Shampoo Vitane Anticaida Therapy Hombre X400ml,Vitane,Shampoo,Cuidado Personal,Salud y Belleza,S&B
2174,P579994,Goma de mascar Mentos Pure Fresh menta fresca sin azúcar,Goma de mascar Mentos Pure Fresh menta fresca sin azúcar x 28und x 56g,Mentos,Confitería,Dulces Y Postres,Alimentos y Bebidas,A&B
2175,P520488,Fuet con pimienta La platanera,Fuet con pimienta La platanera x 170 g,La Factoria,Carnes Frías Maduradas Y Ahumadas,Charcutería,Alimentos y Bebidas,A&B
2176,P575584,Esmalte Jolie de Vogue nails top model,Esmalte Jolie de Vogue nails top model x 14ml,Jolie De Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
2177,P420850,Mani JBO pasas,Mani JBO pasas x 200 g,Jbo Mp,Frutos Secos,Pasabocas,Alimentos y Bebidas,A&B
2178,P122698,Alamar ensalada de atún con arroz,Alamar ensalada de atún con arroz x 130g,Alamar,Enlatados Y Conservas,Despensa,Alimentos y Bebidas,A&B
2179,P788789,Limpia Vidrios Cristal Repuesto Doypack 500ml,Limpia Vidrios Cristal Repuesto Doypack 500ml,Easy Off Bang,Limpieza De Superficies,Aseo De Hogar,Hogar,HO
2180,P881529,Cinta dental Oral B satín tape,Cinta dental Oral B satín tape x 2 und x 25 m c-u precio especial,Oral B,Cuidado Oral,Cuidado Personal,Salud y Belleza,S&B
2181,P547324,Gansito,Gansito x 45 g,Ramo,Panadería Empacada,Panadería Y Pastelería,Alimentos y Bebidas,A&B
2182,P324107,Agua Micelar Desmaquillante Vogue 200 Ml,Agua Micelar Desmaquillante Vogue 200 Ml,Vogue,Cuidado Facial,Belleza,Salud y Belleza,S&B
2183,P907642,Fibra Scotch brite cocina pague 2 lleve 3,Fibra Scotch brite cocina pague 2 lleve 3,Scotch Brite,Esponjas Y Fibras,Limpieza De Cocina,Hogar,HO
2184,P375101,Caramelo Ricola hierbas suizas sin azúcar arándano,Caramelo Ricola hierbas suizas sin azúcar arándano x 15g,A1-Integracion,Confitería,Dulces Y Postres,Alimentos y Bebidas,A&B
2185,P603233,Queso Holandes bola Alpina,Queso Tipo Holandes X 250 gr,Alpina,Quesos Especializados,Charcutería,Alimentos y Bebidas,A&B
2186,P204015,Polvo arroz filtro solar vainilla Vogue,Polvo arroz filtro solar vainilla Vogue x 11 g,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
2187,P527354,Crema Dental Colgate Luminous White Instant 75ml,Crema Dental Colgate Luminous White Instant 75ml,Colgate,Cuidado Oral,Cuidado Personal,Salud y Belleza,S&B
2188,P915712,Pañuelos Familia Triple Hoja Caja Grande,Pañuelos Familia Triple Hoja Caja Grande X 80 und,Familia,Pañuelos,Cuidado Personal,Salud y Belleza,S&B
2189,P250608,Galleta Oreo,Galleta Oreo x 2und. x 432g c-u,Oreo,Galletas Dulces,Pasabocas,Alimentos y Bebidas,A&B
2190,P941208,Dedos de queso K-Listo,Dedo De Queso Bandeja X 10,K-Listo,Masas Y Snacks,Productos Congelados,Alimentos y Bebidas,A&B
2191,P636860,Sellitos dulces del valle manjar,Sellitos dulces del valle manjar x 5 unds x 45g,Dulces Del Valle,Dulces Típicos,Dulces Y Postres,Alimentos y Bebidas,A&B
2192,P759810,Salsa lista tomate ranchero Doria,Salsa lista tomate ranchero Doria x 200 g,Doria,Salsas Y Vinagres,Despensa,Alimentos y Bebidas,A&B
2193,P159639,Shampoo Naturaleza y Vida para tonos blancos y grises,Shampoo Naturaleza y Vida para tonos blancos y grises x 300ml,Naturalezayvida,Shampoo,Cuidado Personal,Salud y Belleza,S&B
2194,P388525,Agua Viel colágeno pepino limón,Agua Viel colágeno pepino limón x 635 ml,Viel,Agua,Bebidas,Alimentos y Bebidas,A&B
2195,P799028,Paño Binner microfibra multiusos polvo brillo,Paño Binner microfibra multiusos polvo brillo x 4 und,Binner,Esponjas Y Fibras,Limpieza De Cocina,Hogar,HO
2196,P654743,Chorizo santarrosano montefrío brocheta,Chorizo santarrosano montefrío brocheta x 250 g,Montefrio,Carnes Frías Y Embutidos,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2197,P929423,Bebida té de limón Mr Tea,Bebida té de limón Mr Tea x 1.5 L,Mrtea,Té Líquido,Bebidas,Alimentos y Bebidas,A&B
2198,P651524,Palitos de Pollo Apanados Zenú,Palitos de Pollo Apanados Zenú x 30 und,Zenu,Apanados,Productos Congelados,Alimentos y Bebidas,A&B
2199,P983315,Esmalte Vogue fantastic brubuja,Esmalte Vogue fantastic brubuja x 10 ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
2200,P860483,Crema de leche Alqueria Bolsa 200 ml,Crema de leche Alqueria Bolsa 200 ml,Alqueria,Crema Leche Y Leche Condensada,Dulces Y Postres,Alimentos y Bebidas,A&B
2201,P400049,Esmalte Vogue Fantastic Porcelana 10 Ml,Esmalte Vogue Fantastic Porcelana 10 Ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
2202,P725607,Agua San Pellegino mineral gas,Agua San Pellegino mineral gas x 500ml,San Pellegrino,Agua,Bebidas,Alimentos y Bebidas,A&B
2203,P184608,Desinfectante Liquido Para Inodoros Limpieza Avanzada 5 En 1 Marina Pato,Pato Liquido Marina X 500 ml,Pato,Limpieza W.C.,Aseo De Hogar,Hogar,HO
2204,P694876,Desodorante Rexona clinical stress control women crema,Desodorante Rexona clinical stress control women crema x 48 g,Rexona,Desodorantes,Cuidado Personal,Salud y Belleza,S&B
2205,P145590,Frito lay maíz crujiente,Frito lay maíz crujiente x 38 g,Frito Lay,Frutos Secos,Pasabocas,Alimentos y Bebidas,A&B
2206,P739698,Queso mozzarella,Queso mozzarella x 450 g colanta,Colanta,Queso,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2207,P238987,Detergente Líquido Woolite Baby 2000ml,Detergente Líquido Woolite Baby 2000ml,Woolite,Detergentes,Cuidado De Ropa Y Calzado,Hogar,HO
2208,P662845,Gelatina Frutiño pack,Gelatina Frutiño pack x 3 mandarina-frutos rojos-fresa x 40 g c-u,Frutino,"Gelatinas, Flanes Y Pudines",Dulces Y Postres,Alimentos y Bebidas,A&B
2209,P316255,Labial Vogue fantastic felicidad,Labial Vogue fantastic felicidad x 4 g,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
2210,P220575,Papas Pringles Original,Papas Pringles Original X 37g,Pringles,Papas Fritas Y Paquetes,Pasabocas,Alimentos y Bebidas,A&B
2211,P663284,Yogurt parmalat semidescremado fresa,Yogurt parmalat semidescremado fresa x150g,Parmalat,Yogurt,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2212,P791125,Agua Manantial,Agua Manantial x 1.5 L,Manantial,Agua,Bebidas,Alimentos y Bebidas,A&B
2213,P890015,Aguardiente Antioqueño 29 vol x750ml,Aguardiente Antioqueño 29 vol x750ml,Antioqueno,Aguardiente,Vinos Y Licores,Alimentos y Bebidas,A&B
2214,P546902,Mostaza Americana La Constancia Dp,Mostaza Americana,La Constancia,Salsas Y Vinagres,Despensa,Alimentos y Bebidas,A&B
2215,P314104,Flan gel'Hada Sabor Leche x 60 g,Flan gel'Hada Sabor Leche x 60 g,Gelhada,"Gelatinas, Flanes Y Pudines",Dulces Y Postres,Alimentos y Bebidas,A&B
2216,P665378,Instacrem,Instacrem x 144 g,Instacrem,Café,Despensa,Alimentos y Bebidas,A&B
2217,P217974,Harina PAN Maíz Dulce,Harina PAN Maíz Dulce x 1000 g,Pan,Harinas Y Mezclas Para Preparar,Despensa,Alimentos y Bebidas,A&B
2218,P836479,Esmalte Vogue fantastic delicado Francés,Esmalte Vogue fantastic delicado Francés x 10 ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
2219,P146171,Desodorante Rexona v8 men stick,Desodorante Rexona v8 men stick x 50g,Rexona,Desodorantes,Cuidado Personal,Salud y Belleza,S&B
2220,P284347,Aromatizante Glade campos de lavanda gel,Aromatizante Glade campos de lavanda gel x170g,Glade,Ambientadores,Aseo De Hogar,Hogar,HO
2221,P379302,Limpiador Liquido 5 En 1 Total Baño Mr Musculo,Limpiador Liquido,Mr Musculo,Limpieza W.C.,Aseo De Hogar,Hogar,HO
2222,P308070,Pantene Pro-V Restauración Mascarilla Intensiva,Pantene Pro-V Restauración Mascarilla Intensiva x 300ml,Pantene,Acondicionadores Y Tratamientos,Cuidado Personal,Salud y Belleza,S&B
2223,P726708,Pasabocas Natuchips multicereal sal marina,Pasabocas Natuchips multicereal sal marina x 140g,Natuchips,Papas Fritas Y Paquetes,Pasabocas,Alimentos y Bebidas,A&B
2224,P367514,Spray Niágara fuerte,Spray Niágara fuerte x 567g,Niagara,Prelavado Y Preplanchado,Cuidado De Ropa Y Calzado,Hogar,HO
2225,P110532,Pestañina HIFI Max Factor Negra Precio Especial,Pestañina HIFI Max Factor Negra Precio Especial,Max Factor,Maquillaje,Belleza,Salud y Belleza,S&B
2226,P333514,Leche Santo Domingo Entera Bolsa Sixpack,Leche Santo Domingo Entera Bolsa Sixpack x 1.1 Lt,Santo Domingo,Leche,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2227,P476735,Bebida lipton té frío durazno,Bebida lipton té frío durazno x 400ml,Lipton,Té Líquido,Bebidas,Alimentos y Bebidas,A&B
2228,P477304,Acondicionador Sedal by yuya detox te verde limón,Acondicionador Sedal by yuya detox te verde limón x 340 ml,Sedal,Acondicionadores Y Tratamientos,Cuidado Personal,Salud y Belleza,S&B
2229,P412857,Ponqué Ramo equilibrio integral,Ponqué Ramo equilibrio integral x 230g,Ramo,Panadería Empacada,Panadería Y Pastelería,Alimentos y Bebidas,A&B
2230,P277530,Galletas Milo choco leche,Galletas Milo choco leche x 12 und x 34 g c-u,Milo,Galletas Dulces,Pasabocas,Alimentos y Bebidas,A&B
2231,P401656,Desinfectante Sanpic lavandax1500 ml+ gratis 500 ml,Desinfectante Sanpic lavandax1500 ml+ gratis 500 ml,Sanpic,Desinfectantes,Aseo De Hogar,Hogar,HO
2232,P696260,Sopa Ajinomen instantánea fideos gallina picante,Sopa Ajinomen instantánea fideos gallina picante x80g,Ajinomen,"Bases, Cremas Y Sopas",Despensa,Alimentos y Bebidas,A&B
2233,P166326,Labial Vogue colorisimo mate Martini liquido,Labial Vogue colorisimo mate Martini liquido x 5 ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
2234,P997225,Caramelos Halls Extra Fuerte Lyptus Barra,Caramelos Halls Extra Fuerte Lyptus Barra X25.2g,Halls,Confitería,Dulces Y Postres,Alimentos y Bebidas,A&B
2235,P630034,Ambientador brizze frutos bosque palitos,Ambientador Brizze frutos bosque palitos x 2 und x 60 ml c-u,Brizze,Ambientadores,Aseo De Hogar,Hogar,HO
2236,P427072,Café Medio Sello Rojo,Café Medio Tostado Y Molido X 250 gr,Sello Rojo,Café,Despensa,Alimentos y Bebidas,A&B
2237,P993034,Pasabocas Doritos mega queso,Pasabocas Doritos mega queso x 10 und x 340 g peso neto,Doritos,Papas Fritas Y Paquetes,Pasabocas,Alimentos y Bebidas,A&B
2238,P735513,Esmalte Vogue gel simpatía,Esmalte Vogue gel simpatía x 14 ml,Vogue,Maquillaje,Belleza,Salud y Belleza,S&B
2239,P421023,Cerveza Bitburger Drive 0.0% Botella,Cerveza Bitburger Botella X 600 ml,Bitburger,Cervezas,Vinos Y Licores,Alimentos y Bebidas,A&B
2240,P442044,mate natural de manjar blanco Dulces Del Valle,mate natural de manjar blanco Dulces Del Valle x 450 g,Dulces Del Valle,Dulces Típicos,Dulces Y Postres,Alimentos y Bebidas,A&B
2241,P728043,Mortadela mixta de pollo y res Maxima,Mortadela mixta de pollo y res Maxima x 450 g,Maxima Mp,Carnes Frías Y Embutidos,"Lácteos, Huevos Y Refrigerados",Alimentos y Bebidas,A&B
2242,P317776,Galletas Crakinua Granos Ancestrales,Galletas Crakinua Granos Ancestrales x 6und. x 30g c-u,Colombina,Galletas Dietéticas Y Saludables,Pasabocas,Alimentos y Bebidas,A&B
2243,P532829,Pony Malta Pet,Pony Malta Pet x 200ml,Pony Malta,"Jugos, Refrescos Y Maltas",Bebidas,Alimentos y Bebidas,A&B
2244,P566627,Empanada carne coctel casera Pueblo Viejo,Empanada carne coctel casera Pueblo Viejo x 1000 g pague 50 und lleve 60,Pueblo Viejo,Empanadas,Productos Congelados,Alimentos y Bebidas,A&B
2245,P509796,Arroz Roa con sabor a pollo y vegetales,Arroz Pollo Vegetales,Roa,Arroz Y Granos,Despensa,Alimentos y Bebidas,A&B
2246,P319648,Vino tinto Dada artwine no.2,Vino tinto Dada artwine no.2 x 750 ml,Dada,Vino,Vinos Y Licores,Alimentos y Bebidas,A&B
2247,P978488,Varsol magistral frasco,Varsol magistral frasco x 400ml,Magistral,Multiusos,Aseo De Hogar,Hogar,HO
2248,P358476,Tinte Palette perfect gloss color tinte 200,Tinte Palette perfect gloss color tinte 200 x 5 elementos,Palette,Coloración,Belleza,Salud y Belleza,S&B
